keys;en;nl
AUDIO;Audio;Audio
CAMERA_SMOOTHNESS;Camera smoothness;Camera soepelheid
CONTINUE;Continue;Doorgaan
DYSLEXIA_FONT;Dyslexia font;Dyslexie lettertype
FULL_SCREEN;Full screen;Volledig scherm
GAME_TITLE;Godot Base Project;Godot Basis Project
LANG_EN;English;English
LANG_NL;Nederlands;Nederlands
MAIN_MENU;Main menu;Hoofdmenu
MAIN_MENU_CONFIRM_YES;Yes, to main menu;Ja, naar hoofdmenu
MAIN_MENU_CREDITS;A game by {AUTHOR};Een spel van {AUTHOR}
MUSIC;Music;Muziek
PAUSE;Pause;Pauze
QUIT;Quit;Sluiten
QUIT_CONFIRM;Are you sure you want to quit?;Weet je zeker dat je wilt afsluiten?
QUIT_CONFIRM_YES;Yes, quit;Ja, sluit af
START_GAME;Start;Start
TUTORIAL;Tutorial;Uitleg
YOU_SURE;Are you sure?;Weet je het zeker?
YOU_SURE_NO;No;Nee
YOU_SURE_YES;Yes;Ja
YOU_SURE_LOOSE_PROGRESS;You will loose all progress. Are you sure?;Je verliest al je voortgang. Weet je het zeker?
